t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0		0		0
1591	0.231402	0.604901	1.20191
1592	0.231547	0.605217	1.20243
1593	0.231692	0.605533	1.20295
1594	0.231838	0.605849	1.20347
1595	0.231983	0.606165	1.20399
1596	0.232129	0.606481	1.20451
1597	0.232274	0.606797	1.20502
1598	0.23242	0.607113	1.20554
1599	0.232565	0.607429	1.20606
1600	0.232711	0.607745	1.20657
1601	0.232856	0.60806	1.20709
1602	0.233001	0.608376	1.20761
1603	0.233147	0.608691	1.20812
1604	0.233292	0.609006	1.20864
1605	0.233438	0.609322	1.20915
1606	0.233583	0.609637	1.20967
1607	0.233729	0.609952	1.21018
1608	0.233874	0.610267	1.2107
1609	0.23402	0.610582	1.21121
1610	0.234165	0.610897	1.21173
1611	0.23431	0.611211	1.21224
1612	0.234456	0.611526	1.21275
1613	0.234601	0.611841	1.21327
1614	0.234747	0.612155	1.21378
1615	0.234892	0.61247	1.21429
1616	0.235038	0.612784	1.2148
1617	0.235183	0.613098	1.21532
1618	0.235329	0.613413	1.21583
1619	0.235474	0.613727	1.21634
1620	0.235619	0.614041	1.21685
1621	0.235765	0.614355	1.21736
1622	0.23591	0.614669	1.21787
1623	0.236056	0.614982	1.21838
1624	0.236201	0.615296	1.21889
1625	0.236347	0.61561	1.2194
1626	0.236492	0.615923	1.21991
1627	0.236638	0.616237	1.22042
1628	0.236783	0.61655	1.22093
1629	0.236928	0.616864	1.22144
1630	0.237074	0.617177	1.22195
1631	0.237219	0.61749	1.22246
1632	0.237365	0.617803	1.22297
1633	0.23751	0.618116	1.22347
1634	0.237656	0.618429	1.22398
1635	0.237801	0.618742	1.22449
1636	0.237947	0.619055	1.225
1637	0.238092	0.619367	1.2255
1638	0.238237	0.61968	1.22601
1639	0.238383	0.619992	1.22652
1640	0.238528	0.620305	1.22702
1641	0.238674	0.620617	1.22753
1642	0.238819	0.620929	1.22803
1643	0.238965	0.621242	1.22854
1644	0.23911	0.621554	1.22904
1645	0.239256	0.621866	1.22955
1646	0.239401	0.622178	1.23005
1647	0.239546	0.62249	1.23056
1648	0.239692	0.622801	1.23106
1649	0.239837	0.623113	1.23157
1650	0.239983	0.623425	1.23207
1651	0.240128	0.623736	1.23257
1652	0.240274	0.624048	1.23308
1653	0.240419	0.624359	1.23358
1654	0.240565	0.624671	1.23408
1655	0.24071	0.624982	1.23458
1656	0.240855	0.625293	1.23508
1657	0.241001	0.625604	1.23559
1658	0.241146	0.625915	1.23609
1659	0.241292	0.626226	1.23659
1660	0.241437	0.626537	1.23709
1661	0.241583	0.626848	1.23759
1662	0.241728	0.627158	1.23809
1663	0.241874	0.627469	1.23859
1664	0.242019	0.627779	1.23909
1665	0.242164	0.62809	1.23959
1666	0.24231	0.6284	1.24009
1667	0.242455	0.62871	1.24059
1668	0.242601	0.629021	1.24109
1669	0.242746	0.629331	1.24159
1670	0.242892	0.629641	1.24209
1671	0.243037	0.629951	1.24258
1672	0.243183	0.630261	1.24308
1673	0.243328	0.63057	1.24358
1674	0.243473	0.63088	1.24408
1675	0.243619	0.63119	1.24457
1676	0.243764	0.631499	1.24507
1677	0.24391	0.631809	1.24557
1678	0.244055	0.632118	1.24606
1679	0.244201	0.632428	1.24656
1680	0.244346	0.632737	1.24706
1681	0.244492	0.633046	1.24755
1682	0.244637	0.633355	1.24805
1683	0.244782	0.633664	1.24854
1684	0.244928	0.633973	1.24904
1685	0.245073	0.634282	1.24953
1686	0.245219	0.634591	1.25003
1687	0.245364	0.6349	1.25052
1688	0.24551	0.635208	1.25101
1689	0.245655	0.635517	1.25151
1690	0.245801	0.635825	1.252
1691	0.245946	0.636134	1.25249
1692	0.246091	0.636442	1.25299
1693	0.246237	0.63675	1.25348
1694	0.246382	0.637058	1.25397
1695	0.246528	0.637366	1.25446
1696	0.246673	0.637674	1.25495
1697	0.246819	0.637982	1.25545
1698	0.246964	0.63829	1.25594
1699	0.24711	0.638598	1.25643
1700	0.247255	0.638906	1.25692
1701	0.2474	0.639213	1.25741
1702	0.247546	0.639521	1.2579
1703	0.247691	0.639828	1.25839
1704	0.247837	0.640136	1.25888
1705	0.247982	0.640443	1.25937
1706	0.248128	0.64075	1.25986
1707	0.248273	0.641057	1.26035
1708	0.248419	0.641364	1.26084
1709	0.248564	0.641671	1.26133
1710	0.248709	0.641978	1.26181
1711	0.248855	0.642285	1.2623
1712	0.249	0.642592	1.26279
1713	0.249146	0.642898	1.26328
1714	0.249291	0.643205	1.26377
1715	0.249437	0.643511	1.26425
1716	0.249582	0.643818	1.26474
1717	0.249728	0.644124	1.26523
1718	0.249873	0.64443	1.26571
1719	0.250018	0.644737	1.2662
1720	0.250164	0.645043	1.26668
1721	0.250309	0.645349	1.26717
1722	0.250455	0.645655	1.26765
1723	0.2506	0.645961	1.26814
1724	0.250746	0.646266	1.26862
1725	0.250891	0.646572	1.26911
1726	0.251037	0.646878	1.26959
1727	0.251182	0.647183	1.27008
1728	0.251327	0.647489	1.27056
1729	0.251473	0.647794	1.27105
1730	0.251618	0.6481	1.27153
1731	0.251764	0.648405	1.27201
1732	0.251909	0.64871	1.27249
1733	0.252055	0.649015	1.27298
1734	0.2522	0.64932	1.27346
1735	0.252346	0.649625	1.27394
1736	0.252491	0.64993	1.27442
1737	0.252636	0.650235	1.27491
1738	0.252782	0.65054	1.27539
1739	0.252927	0.650844	1.27587
1740	0.253073	0.651149	1.27635
1741	0.253218	0.651453	1.27683
1742	0.253364	0.651758	1.27731
1743	0.253509	0.652062	1.27779
1744	0.253655	0.652366	1.27827
1745	0.2538	0.652671	1.27875
1746	0.253945	0.652975	1.27923
1747	0.254091	0.653279	1.27971
1748	0.254236	0.653583	1.28019
1749	0.254382	0.653887	1.28067
1750	0.254527	0.65419	1.28115
1751	0.254673	0.654494	1.28162
1752	0.254818	0.654798	1.2821
1753	0.254964	0.655101	1.28258
1754	0.255109	0.655405	1.28306
1755	0.255254	0.655708	1.28353
1756	0.2554	0.656011	1.28401
1757	0.255545	0.656315	1.28449
1758	0.255691	0.656618	1.28496
1759	0.255836	0.656921	1.28544
1760	0.255982	0.657224	1.28592
1761	0.256127	0.657527	1.28639
1762	0.256273	0.65783	1.28687
1763	0.256418	0.658133	1.28734
1764	0.256563	0.658435	1.28782
1765	0.256709	0.658738	1.28829
1766	0.256854	0.659041	1.28877
1767	0.257	0.659343	1.28924
1768	0.257145	0.659646	1.28972
1769	0.257291	0.659948	1.29019
1770	0.257436	0.66025	1.29066
1771	0.257582	0.660552	1.29114
1772	0.257727	0.660854	1.29161
1773	0.257872	0.661156	1.29208
1774	0.258018	0.661458	1.29256
1775	0.258163	0.66176	1.29303
1776	0.258309	0.662062	1.2935
1777	0.258454	0.662364	1.29397
1778	0.2586	0.662665	1.29445
1779	0.258745	0.662967	1.29492
1780	0.258891	0.663269	1.29539
1781	0.259036	0.66357	1.29586
1782	0.259181	0.663871	1.29633
1783	0.259327	0.664173	1.2968
1784	0.259472	0.664474	1.29727
1785	0.259618	0.664775	1.29774
1786	0.259763	0.665076	1.29821
1787	0.259909	0.665377	1.29868
1788	0.260054	0.665678	1.29915
1789	0.2602	0.665979	1.29962
1790	0.260345	0.666279	1.30009
1791	0.26049	0.66658	1.30056
1792	0.260636	0.666881	1.30103
1793	0.260781	0.667181	1.30149
1794	0.260927	0.667482	1.30196
1795	0.261072	0.667782	1.30243
1796	0.261218	0.668082	1.3029
1797	0.261363	0.668382	1.30336
1798	0.261508	0.668683	1.30383
1799	0.261654	0.668983	1.3043
1800	0.261799	0.669283	1.30476
1801	0.261945	0.669582	1.30523
1802	0.26209	0.669882	1.3057
1803	0.262236	0.670182	1.30616
1804	0.262381	0.670482	1.30663
1805	0.262527	0.670781	1.30709
1806	0.262672	0.671081	1.30756
1807	0.262817	0.67138	1.30802
1808	0.262963	0.67168	1.30849
1809	0.263108	0.671979	1.30895
1810	0.263254	0.672278	1.30942
1811	0.263399	0.672577	1.30988
1812	0.263545	0.672876	1.31034
1813	0.26369	0.673175	1.31081
1814	0.263836	0.673474	1.31127
1815	0.263981	0.673773	1.31173
1816	0.264126	0.674072	1.3122
1817	0.264272	0.674371	1.31266
1818	0.264417	0.674669	1.31312
1819	0.264563	0.674968	1.31358
1820	0.264708	0.675266	1.31405
1821	0.264854	0.675565	1.31451
1822	0.264999	0.675863	1.31497
1823	0.265145	0.676161	1.31543
1824	0.26529	0.676459	1.31589
1825	0.265435	0.676758	1.31635
1826	0.265581	0.677056	1.31681
1827	0.265726	0.677354	1.31727
1828	0.265872	0.677651	1.31773
1829	0.266017	0.677949	1.31819
1830	0.266163	0.678247	1.31865
1831	0.266308	0.678545	1.31911
1832	0.266454	0.678842	1.31957
1833	0.266599	0.67914	1.32003
1834	0.266744	0.679437	1.32049
1835	0.26689	0.679734	1.32095
1836	0.267035	0.680032	1.32141
1837	0.267181	0.680329	1.32186
1838	0.267326	0.680626	1.32232
1839	0.267472	0.680923	1.32278
1840	0.267617	0.68122	1.32324
1841	0.267763	0.681517	1.32369
1842	0.267908	0.681814	1.32415
1843	0.268053	0.682111	1.32461
1844	0.268199	0.682407	1.32506
1845	0.268344	0.682704	1.32552
1846	0.26849	0.683	1.32597
1847	0.268635	0.683297	1.32643
1848	0.268781	0.683593	1.32689
1849	0.268926	0.68389	1.32734
1850	0.269072	0.684186	1.3278
1851	0.269217	0.684482	1.32825
1852	0.269362	0.684778	1.3287
1853	0.269508	0.685074	1.32916
1854	0.269653	0.68537	1.32961
1855	0.269799	0.685666	1.33007
1856	0.269944	0.685962	1.33052
1857	0.27009	0.686257	1.33097
1858	0.270235	0.686553	1.33143
1859	0.270381	0.686849	1.33188
1860	0.270526	0.687144	1.33233
1861	0.270671	0.687439	1.33279
1862	0.270817	0.687735	1.33324
1863	0.270962	0.68803	1.33369
1864	0.271108	0.688325	1.33414
1865	0.271253	0.68862	1.33459
1866	0.271399	0.688915	1.33504
1867	0.271544	0.68921	1.3355
1868	0.27169	0.689505	1.33595
1869	0.271835	0.6898	1.3364
1870	0.27198	0.690095	1.33685
1871	0.272126	0.69039	1.3373
1872	0.272271	0.690684	1.33775
1873	0.272417	0.690979	1.3382
1874	0.272562	0.691273	1.33865
1875	0.272708	0.691568	1.3391
1876	0.272853	0.691862	1.33955
1877	0.272999	0.692156	1.33999
1878	0.273144	0.69245	1.34044
1879	0.273289	0.692744	1.34089
1880	0.273435	0.693038	1.34134
1881	0.27358	0.693332	1.34179
1882	0.273726	0.693626	1.34224
1883	0.273871	0.69392	1.34268
1884	0.274017	0.694214	1.34313
1885	0.274162	0.694507	1.34358
1886	0.274308	0.694801	1.34402
1887	0.274453	0.695095	1.34447
1888	0.274598	0.695388	1.34492
1889	0.274744	0.695681	1.34536
1890	0.274889	0.695975	1.34581
1891	0.275035	0.696268	1.34626
1892	0.27518	0.696561	1.3467
1893	0.275326	0.696854	1.34715
1894	0.275471	0.697147	1.34759
1895	0.275617	0.69744	1.34804
1896	0.275762	0.697733	1.34848
1897	0.275907	0.698026	1.34893
1898	0.276053	0.698318	1.34937
1899	0.276198	0.698611	1.34981
1900	0.276344	0.698904	1.35026
1901	0.276489	0.699196	1.3507
1902	0.276635	0.699488	1.35114
1903	0.27678	0.699781	1.35159
1904	0.276926	0.700073	1.35203
1905	0.277071	0.700365	1.35247
1906	0.277216	0.700657	1.35292
1907	0.277362	0.700949	1.35336
1908	0.277507	0.701241	1.3538
1909	0.277653	0.701533	1.35424
1910	0.277798	0.701825	1.35468
1911	0.277944	0.702117	1.35512
1912	0.278089	0.702409	1.35557
1913	0.278235	0.7027	1.35601
1914	0.27838	0.702992	1.35645
1915	0.278525	0.703283	1.35689
1916	0.278671	0.703575	1.35733
1917	0.278816	0.703866	1.35777
1918	0.278962	0.704157	1.35821
1919	0.279107	0.704448	1.35865
1920	0.279253	0.70474	1.35909
1921	0.279398	0.705031	1.35953
1922	0.279544	0.705322	1.35996
1923	0.279689	0.705612	1.3604
1924	0.279834	0.705903	1.36084
1925	0.27998	0.706194	1.36128
1926	0.280125	0.706485	1.36172
1927	0.280271	0.706775	1.36216
1928	0.280416	0.707066	1.36259
1929	0.280562	0.707356	1.36303
1930	0.280707	0.707647	1.36347
1931	0.280853	0.707937	1.36391
1932	0.280998	0.708227	1.36434
1933	0.281143	0.708517	1.36478
1934	0.281289	0.708808	1.36522
1935	0.281434	0.709098	1.36565
1936	0.28158	0.709388	1.36609
1937	0.281725	0.709677	1.36652
1938	0.281871	0.709967	1.36696
1939	0.282016	0.710257	1.36739
1940	0.282162	0.710547	1.36783
1941	0.282307	0.710836	1.36826
1942	0.282452	0.711126	1.3687
1943	0.282598	0.711415	1.36913
1944	0.282743	0.711705	1.36957
1945	0.282889	0.711994	1.37
1946	0.283034	0.712283	1.37043
1947	0.28318	0.712572	1.37087
1948	0.283325	0.712862	1.3713
1949	0.283471	0.713151	1.37173
1950	0.283616	0.71344	1.37217
1951	0.283761	0.713728	1.3726
1952	0.283907	0.714017	1.37303
1953	0.284052	0.714306	1.37346
1954	0.284198	0.714595	1.3739
1955	0.284343	0.714883	1.37433
1956	0.284489	0.715172	1.37476
1957	0.284634	0.71546	1.37519
1958	0.28478	0.715749	1.37562
1959	0.284925	0.716037	1.37605
1960	0.28507	0.716325	1.37648
1961	0.285216	0.716613	1.37692
1962	0.285361	0.716902	1.37735
1963	0.285507	0.71719	1.37778
1964	0.285652	0.717478	1.37821
1965	0.285798	0.717765	1.37864
1966	0.285943	0.718053	1.37907
1967	0.286089	0.718341	1.37949
1968	0.286234	0.718629	1.37992
1969	0.286379	0.718916	1.38035
1970	0.286525	0.719204	1.38078
1971	0.28667	0.719491	1.38121
1972	0.286816	0.719779	1.38164
1973	0.286961	0.720066	1.38207
1974	0.287107	0.720353	1.38249
1975	0.287252	0.72064	1.38292
1976	0.287398	0.720928	1.38335
1977	0.287543	0.721215	1.38378
1978	0.287688	0.721502	1.3842
1979	0.287834	0.721789	1.38463
1980	0.287979	0.722075	1.38506
1981	0.288125	0.722362	1.38548
1982	0.28827	0.722649	1.38591
1983	0.288416	0.722935	1.38633
1984	0.288561	0.723222	1.38676
1985	0.288707	0.723508	1.38719
1986	0.288852	0.723795	1.38761
1987	0.288997	0.724081	1.38804
1988	0.289143	0.724368	1.38846
1989	0.289288	0.724654	1.38889
1990	0.289434	0.72494	1.38931
1991	0.289579	0.725226	1.38973
1992	0.289725	0.725512	1.39016
1993	0.28987	0.725798	1.39058
1994	0.290016	0.726084	1.39101
1995	0.290161	0.726369	1.39143
1996	0.290306	0.726655	1.39185
1997	0.290452	0.726941	1.39228
1998	0.290597	0.727226	1.3927
1999	0.290743	0.727512	1.39312
2000	0.290888	0.727797	1.39354
2001	0.291034	0.728083	1.39397
2002	0.291179	0.728368	1.39439
2003	0.291325	0.728653	1.39481
2004	0.29147	0.728938	1.39523
2005	0.291615	0.729223	1.39565
2006	0.291761	0.729508	1.39607
2007	0.291906	0.729793	1.39649
2008	0.292052	0.730078	1.39692
2009	0.292197	0.730363	1.39734
2010	0.292343	0.730648	1.39776
2011	0.292488	0.730932	1.39818
2012	0.292634	0.731217	1.3986
2013	0.292779	0.731502	1.39902
2014	0.292924	0.731786	1.39944
2015	0.29307	0.73207	1.39985
2016	0.293215	0.732355	1.40027
2017	0.293361	0.732639	1.40069
2018	0.293506	0.732923	1.40111
2019	0.293652	0.733207	1.40153
2020	0.293797	0.733491	1.40195
2021	0.293943	0.733775	1.40237
2022	0.294088	0.734059	1.40278
2023	0.294233	0.734343	1.4032
2024	0.294379	0.734627	1.40362
2025	0.294524	0.73491	1.40404
2026	0.29467	0.735194	1.40445
2027	0.294815	0.735478	1.40487
2028	0.294961	0.735761	1.40529
2029	0.295106	0.736045	1.4057
2030	0.295252	0.736328	1.40612
2031	0.295397	0.736611	1.40654
2032	0.295542	0.736894	1.40695
2033	0.295688	0.737178	1.40737
2034	0.295833	0.737461	1.40778
2035	0.295979	0.737744	1.4082
2036	0.296124	0.738027	1.40861
2037	0.29627	0.738309	1.40903
2038	0.296415	0.738592	1.40944
2039	0.296561	0.738875	1.40986
2040	0.296706	0.739158	1.41027
2041	0.296851	0.73944	1.41069
2042	0.296997	0.739723	1.4111
2043	0.297142	0.740005	1.41151
2044	0.297288	0.740288	1.41193
2045	0.297433	0.74057	1.41234
2046	0.297579	0.740852	1.41275
2047	0.297724	0.741134	1.41317
2048	0.29787	0.741416	1.41358
2049	0.298015	0.741699	1.41399
2050	0.29816	0.741981	1.4144
2051	0.298306	0.742262	1.41482
2052	0.298451	0.742544	1.41523
2053	0.298597	0.742826	1.41564
2054	0.298742	0.743108	1.41605
2055	0.298888	0.743389	1.41646
2056	0.299033	0.743671	1.41687
2057	0.299179	0.743952	1.41728
2058	0.299324	0.744234	1.41769
2059	0.299469	0.744515	1.4181
2060	0.299615	0.744797	1.41851
2061	0.29976	0.745078	1.41892
2062	0.299906	0.745359	1.41933
2063	0.300051	0.74564	1.41974
2064	0.300197	0.745921	1.42015
2065	0.300342	0.746202	1.42056
2066	0.300488	0.746483	1.42097
2067	0.300633	0.746764	1.42138
2068	0.300778	0.747044	1.42179
2069	0.300924	0.747325	1.4222
2070	0.301069	0.747606	1.42261
2071	0.301215	0.747886	1.42301
2072	0.30136	0.748167	1.42342
2073	0.301506	0.748447	1.42383
2074	0.301651	0.748728	1.42424
2075	0.301797	0.749008	1.42464
2076	0.301942	0.749288	1.42505
2077	0.302087	0.749568	1.42546
2078	0.302233	0.749848	1.42587
2079	0.302378	0.750128	1.42627
2080	0.302524	0.750408	1.42668
2081	0.302669	0.750688	1.42708
2082	0.302815	0.750968	1.42749
2083	0.30296	0.751248	1.4279
2084	0.303106	0.751527	1.4283
2085	0.303251	0.751807	1.42871
2086	0.303396	0.752086	1.42911
2087	0.303542	0.752366	1.42952
2088	0.303687	0.752645	1.42992
2089	0.303833	0.752925	1.43033
2090	0.303978	0.753204	1.43073
2091	0.304124	0.753483	1.43113
2092	0.304269	0.753762	1.43154
2093	0.304415	0.754041	1.43194
2094	0.30456	0.75432	1.43235
2095	0.304705	0.754599	1.43275
2096	0.304851	0.754878	1.43315
2097	0.304996	0.755157	1.43356
2098	0.305142	0.755435	1.43396
2099	0.305287	0.755714	1.43436
2100	0.305433	0.755993	1.43476
2101	0.305578	0.756271	1.43517
2102	0.305724	0.75655	1.43557
2103	0.305869	0.756828	1.43597
2104	0.306014	0.757106	1.43637
2105	0.30616	0.757385	1.43677
2106	0.306305	0.757663	1.43717
2107	0.306451	0.757941	1.43757
2108	0.306596	0.758219	1.43798
2109	0.306742	0.758497	1.43838
2110	0.306887	0.758775	1.43878
2111	0.307033	0.759053	1.43918
2112	0.307178	0.759331	1.43958
2113	0.307323	0.759608	1.43998
2114	0.307469	0.759886	1.44038
2115	0.307614	0.760164	1.44078
2116	0.30776	0.760441	1.44118
2117	0.307905	0.760719	1.44157
2118	0.308051	0.760996	1.44197
2119	0.308196	0.761273	1.44237
2120	0.308342	0.761551	1.44277
2121	0.308487	0.761828	1.44317
2122	0.308632	0.762105	1.44357
2123	0.308778	0.762382	1.44396
2124	0.308923	0.762659	1.44436
2125	0.309069	0.762936	1.44476
2126	0.309214	0.763213	1.44516
2127	0.30936	0.76349	1.44555
2128	0.309505	0.763766	1.44595
2129	0.30965	0.764043	1.44635
2130	0.309796	0.764319	1.44675
2131	0.309941	0.764596	1.44714
2132	0.310087	0.764872	1.44754
2133	0.310232	0.765149	1.44793
2134	0.310378	0.765425	1.44833
2135	0.310523	0.765701	1.44873
2136	0.310669	0.765978	1.44912
2137	0.310814	0.766254	1.44952
2138	0.310959	0.76653	1.44991
2139	0.311105	0.766806	1.45031
2140	0.31125	0.767082	1.4507
2141	0.311396	0.767358	1.4511
2142	0.311541	0.767633	1.45149
2143	0.311687	0.767909	1.45188
2144	0.311832	0.768185	1.45228
2145	0.311978	0.768461	1.45267
2146	0.312123	0.768736	1.45307
2147	0.312268	0.769012	1.45346
2148	0.312414	0.769287	1.45385
2149	0.312559	0.769562	1.45425
2150	0.312705	0.769838	1.45464
2151	0.31285	0.770113	1.45503
2152	0.312996	0.770388	1.45542
2153	0.313141	0.770663	1.45582
2154	0.313287	0.770938	1.45621
2155	0.313432	0.771213	1.4566
2156	0.313577	0.771488	1.45699
2157	0.313723	0.771763	1.45738
2158	0.313868	0.772037	1.45778
2159	0.314014	0.772312	1.45817
2160	0.314159	0.772587	1.45856
2161	0.314305	0.772861	1.45895
2162	0.31445	0.773136	1.45934
2163	0.314596	0.77341	1.45973
2164	0.314741	0.773685	1.46012
2165	0.314886	0.773959	1.46051
2166	0.315032	0.774233	1.4609
2167	0.315177	0.774507	1.46129
2168	0.315323	0.774781	1.46168
2169	0.315468	0.775055	1.46207
2170	0.315614	0.775329	1.46246
2171	0.315759	0.775603	1.46285
2172	0.315905	0.775877	1.46324
2173	0.31605	0.776151	1.46362
2174	0.316195	0.776425	1.46401
2175	0.316341	0.776698	1.4644
2176	0.316486	0.776972	1.46479
2177	0.316632	0.777245	1.46518
2178	0.316777	0.777519	1.46556
2179	0.316923	0.777792	1.46595
2180	0.317068	0.778066	1.46634
2181	0.317214	0.778339	1.46673
2182	0.317359	0.778612	1.46711
2183	0.317504	0.778885	1.4675
2184	0.31765	0.779158	1.46789
2185	0.317795	0.779431	1.46827
2186	0.317941	0.779704	1.46866
2187	0.318086	0.779977	1.46905
2188	0.318232	0.78025	1.46943
2189	0.318377	0.780523	1.46982
2190	0.318523	0.780795	1.4702
2191	0.318668	0.781068	1.47059
2192	0.318813	0.78134	1.47097
2193	0.318959	0.781613	1.47136
2194	0.319104	0.781885	1.47174
2195	0.31925	0.782158	1.47213
2196	0.319395	0.78243	1.47251
2197	0.319541	0.782702	1.4729
2198	0.319686	0.782974	1.47328
2199	0.319832	0.783246	1.47366
2200	0.319977	0.783519	1.47405
2201	0.320122	0.78379	1.47443
2202	0.320268	0.784062	1.47481
2203	0.320413	0.784334	1.4752
2204	0.320559	0.784606	1.47558
2205	0.320704	0.784878	1.47596
2206	0.32085	0.785149	1.47635
2207	0.320995	0.785421	1.47673
2208	0.321141	0.785693	1.47711
2209	0.321286	0.785964	1.47749
2210	0.321431	0.786235	1.47787
2211	0.321577	0.786507	1.47826
2212	0.321722	0.786778	1.47864
2213	0.321868	0.787049	1.47902
2214	0.322013	0.78732	1.4794
2215	0.322159	0.787591	1.47978
2216	0.322304	0.787862	1.48016
2217	0.32245	0.788133	1.48054
2218	0.322595	0.788404	1.48092
2219	0.32274	0.788675	1.4813
2220	0.322886	0.788946	1.48168
2221	0.323031	0.789217	1.48206
2222	0.323177	0.789487	1.48244
2223	0.323322	0.789758	1.48282
2224	0.323468	0.790028	1.4832
2225	0.323613	0.790299	1.48358
2226	0.323759	0.790569	1.48396
2227	0.323904	0.790839	1.48434
2228	0.324049	0.79111	1.48472
2229	0.324195	0.79138	1.4851
2230	0.32434	0.79165	1.48547
2231	0.324486	0.79192	1.48585
2232	0.324631	0.79219	1.48623
2233	0.324777	0.79246	1.48661
2234	0.324922	0.79273	1.48699
2235	0.325068	0.793	1.48736
2236	0.325213	0.793269	1.48774
2237	0.325358	0.793539	1.48812
2238	0.325504	0.793809	1.48849
2239	0.325649	0.794078	1.48887
2240	0.325795	0.794348	1.48925
2241	0.32594	0.794617	1.48962
2242	0.326086	0.794886	1.49
2243	0.326231	0.795156	1.49038
2244	0.326377	0.795425	1.49075
2245	0.326522	0.795694	1.49113
2246	0.326667	0.795963	1.4915
2247	0.326813	0.796232	1.49188
2248	0.326958	0.796501	1.49225
2249	0.327104	0.79677	1.49263
2250	0.327249	0.797039	1.493
2251	0.327395	0.797308	1.49338
2252	0.32754	0.797577	1.49375
2253	0.327686	0.797845	1.49413
2254	0.327831	0.798114	1.4945
2255	0.327976	0.798383	1.49487
2256	0.328122	0.798651	1.49525
2257	0.328267	0.798919	1.49562
2258	0.328413	0.799188	1.496
2259	0.328558	0.799456	1.49637
2260	0.328704	0.799724	1.49674
2261	0.328849	0.799992	1.49711
2262	0.328995	0.800261	1.49749
2263	0.32914	0.800529	1.49786
2264	0.329285	0.800797	1.49823
2265	0.329431	0.801065	1.4986
2266	0.329576	0.801332	1.49898
2267	0.329722	0.8016	1.49935
2268	0.329867	0.801868	1.49972
2269	0.330013	0.802136	1.50009
2270	0.330158	0.802403	1.50046
2271	0.330304	0.802671	1.50083
2272	0.330449	0.802938	1.5012
2273	0.330594	0.803206	1.50158
2274	0.33074	0.803473	1.50195
2275	0.330885	0.80374	1.50232
2276	0.331031	0.804008	1.50269
2277	0.331176	0.804275	1.50306
2278	0.331322	0.804542	1.50343
2279	0.331467	0.804809	1.5038
2280	0.331613	0.805076	1.50417
2281	0.331758	0.805343	1.50454
2282	0.331903	0.80561	1.5049
2283	0.332049	0.805877	1.50527
2284	0.332194	0.806143	1.50564
2285	0.33234	0.80641	1.50601
2286	0.332485	0.806677	1.50638
2287	0.332631	0.806943	1.50675
2288	0.332776	0.80721	1.50712
2289	0.332922	0.807476	1.50748
2290	0.333067	0.807743	1.50785
2291	0.333212	0.808009	1.50822
2292	0.333358	0.808275	1.50859
2293	0.333503	0.808541	1.50896
2294	0.333649	0.808807	1.50932
2295	0.333794	0.809073	1.50969
2296	0.33394	0.809339	1.51006
2297	0.334085	0.809605	1.51042
2298	0.334231	0.809871	1.51079
2299	0.334376	0.810137	1.51116
2300	0.334521	0.810403	1.51152
2301	0.334667	0.810669	1.51189
2302	0.334812	0.810934	1.51225
2303	0.334958	0.8112	1.51262
2304	0.335103	0.811465	1.51299
2305	0.335249	0.811731	1.51335
2306	0.335394	0.811996	1.51372
2307	0.33554	0.812261	1.51408
2308	0.335685	0.812527	1.51445
2309	0.33583	0.812792	1.51481
2310	0.335976	0.813057	1.51517
2311	0.336121	0.813322	1.51554
2312	0.336267	0.813587	1.5159
2313	0.336412	0.813852	1.51627
2314	0.336558	0.814117	1.51663
2315	0.336703	0.814382	1.51699
2316	0.336849	0.814647	1.51736
2317	0.336994	0.814911	1.51772
2318	0.337139	0.815176	1.51808
2319	0.337285	0.815441	1.51845
2320	0.33743	0.815705	1.51881
2321	0.337576	0.81597	1.51917
2322	0.337721	0.816234	1.51954
2323	0.337867	0.816498	1.5199
2324	0.338012	0.816763	1.52026
2325	0.338158	0.817027	1.52062
2326	0.338303	0.817291	1.52098
2327	0.338448	0.817555	1.52135
2328	0.338594	0.817819	1.52171
2329	0.338739	0.818083	1.52207
2330	0.338885	0.818347	1.52243
2331	0.33903	0.818611	1.52279
2332	0.339176	0.818875	1.52315
2333	0.339321	0.819139	1.52351
2334	0.339467	0.819402	1.52387
2335	0.339612	0.819666	1.52423
2336	0.339757	0.81993	1.52459
2337	0.339903	0.820193	1.52495
2338	0.340048	0.820456	1.52531
2339	0.340194	0.82072	1.52567
2340	0.340339	0.820983	1.52603
2341	0.340485	0.821246	1.52639
2342	0.34063	0.82151	1.52675
2343	0.340776	0.821773	1.52711
2344	0.340921	0.822036	1.52747
2345	0.341066	0.822299	1.52783
2346	0.341212	0.822562	1.52819
2347	0.341357	0.822825	1.52854
2348	0.341503	0.823088	1.5289
2349	0.341648	0.82335	1.52926
2350	0.341794	0.823613	1.52962
2351	0.341939	0.823876	1.52998
2352	0.342085	0.824138	1.53033
2353	0.34223	0.824401	1.53069
2354	0.342375	0.824663	1.53105
2355	0.342521	0.824926	1.5314
2356	0.342666	0.825188	1.53176
2357	0.342812	0.82545	1.53212
2358	0.342957	0.825713	1.53248
2359	0.343103	0.825975	1.53283
2360	0.343248	0.826237	1.53319
2361	0.343394	0.826499	1.53354
2362	0.343539	0.826761	1.5339
2363	0.343684	0.827023	1.53426
2364	0.34383	0.827285	1.53461
2365	0.343975	0.827547	1.53497
2366	0.344121	0.827809	1.53532
