t, c	M(t), рад	E(t), рад	Theta(t), рад	
0	0		0		0
163	0.0237074	0.0689653	0.151294
164	0.0238528	0.0693872	0.152216
165	0.0239983	0.0698089	0.153139
166	0.0241437	0.0702307	0.154061
167	0.0242892	0.0706525	0.154983
168	0.0244346	0.0710742	0.155906
169	0.0245801	0.0714959	0.156828
170	0.0247255	0.0719175	0.15775
171	0.0248709	0.0723392	0.158671
172	0.0250164	0.0727608	0.159593
173	0.0251618	0.0731824	0.160515
174	0.0253073	0.073604	0.161436
175	0.0254527	0.0740255	0.162358
176	0.0255982	0.0744471	0.163279
177	0.0257436	0.0748686	0.1642
178	0.0258891	0.07529	0.165121
179	0.0260345	0.0757115	0.166042
180	0.0261799	0.0761329	0.166963
181	0.0263254	0.0765543	0.167883
182	0.0264708	0.0769757	0.168804
183	0.0266163	0.077397	0.169725
184	0.0267617	0.0778183	0.170645
185	0.0269072	0.0782396	0.171565
186	0.0270526	0.0786609	0.172485
187	0.027198	0.0790821	0.173405
188	0.0273435	0.0795033	0.174325
189	0.0274889	0.0799245	0.175245
190	0.0276344	0.0803457	0.176165
191	0.0277798	0.0807668	0.177084
192	0.0279253	0.0811879	0.178004
193	0.0280707	0.081609	0.178923
194	0.0282162	0.08203	0.179842
195	0.0283616	0.0824511	0.180761
196	0.028507	0.0828721	0.18168
197	0.0286525	0.083293	0.182599
198	0.0287979	0.083714	0.183518
199	0.0289434	0.0841349	0.184436
200	0.0290888	0.0845558	0.185355
201	0.0292343	0.0849766	0.186273
202	0.0293797	0.0853974	0.187192
203	0.0295252	0.0858182	0.18811
204	0.0296706	0.086239	0.189028
205	0.029816	0.0866598	0.189945
206	0.0299615	0.0870805	0.190863
207	0.0301069	0.0875011	0.191781
208	0.0302524	0.0879218	0.192698
209	0.0303978	0.0883424	0.193616
210	0.0305433	0.088763	0.194533
211	0.0306887	0.0891836	0.19545
212	0.0308342	0.0896041	0.196367
213	0.0309796	0.0900246	0.197284
214	0.031125	0.0904451	0.1982
215	0.0312705	0.0908655	0.199117
216	0.0314159	0.0912859	0.200033
217	0.0315614	0.0917063	0.200949
218	0.0317068	0.0921267	0.201866
219	0.0318523	0.092547	0.202782
220	0.0319977	0.0929673	0.203698
221	0.0321431	0.0933875	0.204613
222	0.0322886	0.0938078	0.205529
223	0.032434	0.094228	0.206444
224	0.0325795	0.0946481	0.20736
225	0.0327249	0.0950683	0.208275
226	0.0328704	0.0954884	0.20919
227	0.0330158	0.0959084	0.210105
228	0.0331613	0.0963285	0.21102
229	0.0333067	0.0967485	0.211934
230	0.0334521	0.0971685	0.212849
231	0.0335976	0.0975884	0.213763
232	0.033743	0.0980083	0.214677
233	0.0338885	0.0984282	0.215591
234	0.0340339	0.098848	0.216505
235	0.0341794	0.0992678	0.217419
236	0.0343248	0.0996876	0.218333
237	0.0344703	0.100107	0.219246
238	0.0346157	0.100527	0.22016
239	0.0347611	0.100947	0.221073
240	0.0349066	0.101366	0.221986
241	0.035052	0.101786	0.222899
242	0.0351975	0.102206	0.223812
243	0.0353429	0.102625	0.224724
244	0.0354884	0.103045	0.225637
245	0.0356338	0.103464	0.226549
246	0.0357792	0.103884	0.227461
247	0.0359247	0.104303	0.228373
248	0.0360701	0.104722	0.229285
249	0.0362156	0.105142	0.230197
250	0.036361	0.105561	0.231108
251	0.0365065	0.10598	0.23202
252	0.0366519	0.106399	0.232931
253	0.0367974	0.106819	0.233842
254	0.0369428	0.107238	0.234753
255	0.0370882	0.107657	0.235664
256	0.0372337	0.108076	0.236575
257	0.0373791	0.108495	0.237485
258	0.0375246	0.108914	0.238395
259	0.03767	0.109333	0.239306
260	0.0378155	0.109752	0.240216
261	0.0379609	0.110171	0.241125
262	0.0381064	0.11059	0.242035
263	0.0382518	0.111009	0.242945
264	0.0383972	0.111427	0.243854
265	0.0385427	0.111846	0.244763
266	0.0386881	0.112265	0.245672
267	0.0388336	0.112684	0.246581
268	0.038979	0.113102	0.24749
269	0.0391245	0.113521	0.248399
270	0.0392699	0.113939	0.249307
271	0.0394154	0.114358	0.250215
272	0.0395608	0.114776	0.251123
273	0.0397062	0.115195	0.252031
274	0.0398517	0.115613	0.252939
275	0.0399971	0.116032	0.253847
276	0.0401426	0.11645	0.254754
277	0.040288	0.116868	0.255661
278	0.0404335	0.117287	0.256568
279	0.0405789	0.117705	0.257475
280	0.0407243	0.118123	0.258382
281	0.0408698	0.118541	0.259289
282	0.0410152	0.118959	0.260195
283	0.0411607	0.119377	0.261101
284	0.0413061	0.119795	0.262008
285	0.0414516	0.120213	0.262913
286	0.041597	0.120631	0.263819
287	0.0417425	0.121049	0.264725
288	0.0418879	0.121467	0.26563
289	0.0420333	0.121885	0.266535
290	0.0421788	0.122303	0.26744
291	0.0423242	0.122721	0.268345
292	0.0424697	0.123138	0.26925
293	0.0426151	0.123556	0.270155
294	0.0427606	0.123974	0.271059
295	0.042906	0.124391	0.271963
296	0.0430515	0.124809	0.272867
297	0.0431969	0.125226	0.273771
298	0.0433423	0.125644	0.274675
299	0.0434878	0.126061	0.275578
300	0.0436332	0.126479	0.276481
301	0.0437787	0.126896	0.277384
302	0.0439241	0.127313	0.278287
303	0.0440696	0.127731	0.27919
304	0.044215	0.128148	0.280093
305	0.0443605	0.128565	0.280995
306	0.0445059	0.128982	0.281897
307	0.0446513	0.129399	0.282799
308	0.0447968	0.129816	0.283701
309	0.0449422	0.130233	0.284603
310	0.0450877	0.13065	0.285504
311	0.0452331	0.131067	0.286406
312	0.0453786	0.131484	0.287307
313	0.045524	0.131901	0.288208
314	0.0456694	0.132318	0.289108
315	0.0458149	0.132735	0.290009
316	0.0459603	0.133151	0.290909
317	0.0461058	0.133568	0.291809
318	0.0462512	0.133985	0.292709
319	0.0463967	0.134401	0.293609
320	0.0465421	0.134818	0.294509
321	0.0466876	0.135234	0.295408
